Epoch 41: Loss 9.42, Reward -21.0, Avgloss 10.18, Avgreward -20.31, Epsilon 0.50, TotalStep 37815
Epoch 42: Loss 9.40, Reward -21.0, Avgloss 10.17, Avgreward -20.33, Epsilon 0.49, TotalStep 38631
Epoch 43: Loss 12.19, Reward -19.0, Avgloss 10.21, Avgreward -20.30, Epsilon 0.48, TotalStep 39632
Epoch 44: Loss 10.30, Reward -20.0, Avgloss 10.21, Avgreward -20.29, Epsilon 0.47, TotalStep 40532
Epoch 45: Loss 9.73, Reward -21.0, Avgloss 10.20, Avgreward -20.30, Epsilon 0.47, TotalStep 41395
Epoch 46: Loss 9.09, Reward -21.0, Avgloss 10.18, Avgreward -20.32, Epsilon 0.46, TotalStep 42215
Epoch 47: Loss 10.42, Reward -20.0, Avgloss 10.19, Avgreward -20.31, Epsilon 0.45, TotalStep 43155
Epoch 48: Loss 10.27, Reward -21.0, Avgloss 10.19, Avgreward -20.33, Epsilon 0.44, TotalStep 44089
Epoch 49: Loss 8.99, Reward -21.0, Avgloss 10.16, Avgreward -20.34, Epsilon 0.44, TotalStep 44867
Epoch 50: Loss 10.06, Reward -20.0, Avgloss 10.16, Avgreward -20.33, Epsilon 0.43, TotalStep 45742
Epoch 51: Loss 9.65, Reward -21.0, Avgloss 10.15, Avgreward -20.35, Epsilon 0.42, TotalStep 46589
Epoch 52: Loss 8.77, Reward -21.0, Avgloss 10.13, Avgreward -20.36, Epsilon 0.42, TotalStep 47367
Epoch 53: Loss 8.98, Reward -21.0, Avgloss 10.10, Avgreward -20.37, Epsilon 0.41, TotalStep 48155
Epoch 54: Loss 11.99, Reward -20.0, Avgloss 10.14, Avgreward -20.36, Epsilon 0.41, TotalStep 49200
Epoch 55: Loss 9.97, Reward -20.0, Avgloss 10.14, Avgreward -20.36, Epsilon 0.40, TotalStep 50119
Epoch 56: Loss 9.68, Reward -20.0, Avgloss 10.13, Avgreward -20.35, Epsilon 0.39, TotalStep 50953
Epoch 57: Loss 10.21, Reward -20.0, Avgloss 10.13, Avgreward -20.34, Epsilon 0.39, TotalStep 51910
Epoch 58: Loss 9.24, Reward -21.0, Avgloss 10.11, Avgreward -20.36, Epsilon 0.38, TotalStep 52730
Epoch 59: Loss 9.39, Reward -21.0, Avgloss 10.10, Avgreward -20.37, Epsilon 0.38, TotalStep 53550
Epoch 60: Loss 9.15, Reward -21.0, Avgloss 10.09, Avgreward -20.38, Epsilon 0.37, TotalStep 54366
Epoch 61: Loss 9.10, Reward -21.0, Avgloss 10.07, Avgreward -20.39, Epsilon 0.37, TotalStep 55180
Epoch 62: Loss 11.55, Reward -20.0, Avgloss 10.09, Avgreward -20.38, Epsilon 0.36, TotalStep 56154
Epoch 63: Loss 10.05, Reward -21.0, Avgloss 10.09, Avgreward -20.39, Epsilon 0.35, TotalStep 57023
Epoch 64: Loss 9.74, Reward -20.0, Avgloss 10.09, Avgreward -20.38, Epsilon 0.35, TotalStep 57858
Epoch 65: Loss 8.52, Reward -21.0, Avgloss 10.06, Avgreward -20.39, Epsilon 0.34, TotalStep 58617
Epoch 66: Loss 9.04, Reward -21.0, Avgloss 10.05, Avgreward -20.40, Epsilon 0.34, TotalStep 59394
Epoch 67: Loss 9.22, Reward -20.0, Avgloss 10.04, Avgreward -20.40, Epsilon 0.33, TotalStep 60264
Epoch 68: Loss 9.60, Reward -21.0, Avgloss 10.03, Avgreward -20.41, Epsilon 0.33, TotalStep 61133
Epoch 69: Loss 9.41, Reward -21.0, Avgloss 10.02, Avgreward -20.41, Epsilon 0.33, TotalStep 61941
Epoch 70: Loss 9.68, Reward -21.0, Avgloss 10.02, Avgreward -20.42, Epsilon 0.32, TotalStep 62823
Epoch 71: Loss 9.63, Reward -20.0, Avgloss 10.01, Avgreward -20.42, Epsilon 0.32, TotalStep 63656
Epoch 72: Loss 9.95, Reward -20.0, Avgloss 10.01, Avgreward -20.41, Epsilon 0.31, TotalStep 64489
Epoch 73: Loss 10.59, Reward -20.0, Avgloss 10.02, Avgreward -20.41, Epsilon 0.31, TotalStep 65407
Epoch 74: Loss 10.24, Reward -20.0, Avgloss 10.02, Avgreward -20.40, Epsilon 0.30, TotalStep 66243
Epoch 75: Loss 9.54, Reward -20.0, Avgloss 10.01, Avgreward -20.39, Epsilon 0.30, TotalStep 67105
Epoch 76: Loss 9.87, Reward -20.0, Avgloss 10.01, Avgreward -20.39, Epsilon 0.29, TotalStep 67983
Epoch 77: Loss 10.47, Reward -21.0, Avgloss 10.02, Avgreward -20.40, Epsilon 0.29, TotalStep 68919
Epoch 78: Loss 10.32, Reward -21.0, Avgloss 10.02, Avgreward -20.41, Epsilon 0.29, TotalStep 69844
Epoch 79: Loss 9.14, Reward -21.0, Avgloss 10.01, Avgreward -20.41, Epsilon 0.28, TotalStep 70633
Epoch 80: Loss 9.86, Reward -21.0, Avgloss 10.01, Avgreward -20.42, Epsilon 0.28, TotalStep 71484
Epoch 81: Loss 8.66, Reward -21.0, Avgloss 9.99, Avgreward -20.43, Epsilon 0.27, TotalStep 72243
Epoch 82: Loss 12.43, Reward -21.0, Avgloss 10.02, Avgreward -20.43, Epsilon 0.27, TotalStep 73299
Epoch 83: Loss 9.64, Reward -20.0, Avgloss 10.02, Avgreward -20.43, Epsilon 0.27, TotalStep 74136
Epoch 84: Loss 9.84, Reward -20.0, Avgloss 10.02, Avgreward -20.42, Epsilon 0.26, TotalStep 74975
Epoch 85: Loss 10.27, Reward -21.0, Avgloss 10.02, Avgreward -20.43, Epsilon 0.26, TotalStep 75857
Epoch 86: Loss 11.63, Reward -20.0, Avgloss 10.04, Avgreward -20.43, Epsilon 0.25, TotalStep 76871
Epoch 87: Loss 9.00, Reward -21.0, Avgloss 10.03, Avgreward -20.43, Epsilon 0.25, TotalStep 77649
Epoch 88: Loss 8.81, Reward -21.0, Avgloss 10.01, Avgreward -20.44, Epsilon 0.25, TotalStep 78405
Epoch 89: Loss 9.22, Reward -21.0, Avgloss 10.00, Avgreward -20.44, Epsilon 0.24, TotalStep 79240
Epoch 90: Loss 9.80, Reward -21.0, Avgloss 10.00, Avgreward -20.45, Epsilon 0.24, TotalStep 80071
